Cus.ID,Date,Cus._Location,Age,Gender,Mobile_Name,Sell_Price,Does_he/she_Come_from_Facebook_Page,Does_he/she_Followed_Our_Page,Did_he/she_buy_any_mobile_before,Did_he/she_hear_of_our_shop_before
23,2024-05-27,Inside Rangamati,43,F,Note 11S 6/128,21776.0,0,0,0,0
24,2024-05-27,Outside Rangamati,19,F,Narzo N53 4/64,12865.0,1,0,1,1
25,2024-05-27,Inside Rangamati,45,M,Note 11S 6/128,23318.0,1,0,1,1
26,2024-05-27,Rangamati Sadar,25,M,R-70 Turbo 5G 6/128,24032.0,0,0,1,0
27,2024-05-28,Outside Rangamati,30,M,Galaxy M35 5G 8/128,26174.0,1,0,0,0
28,2024-05-28,Outside Rangamati,34,F,Moto G85 5G 8/128,26118.0,0,0,1,1
29,2024-05-28,Outside Rangamati,30,M,iQOO Neo 9 Pro 5G 12/256,40496.0,0,0,0,1
30,2024-05-28,Inside Rangamati,38,M,Note 11S 6/128,23047.0,0,0,0,1
31,2024-05-28,Inside Rangamati,42,F,Galaxy S24 Ultra 12/256,23249.0,0,0,0,0
32,2024-05-28,Outside Rangamati,20,F,Note 14 Pro 5G 8/256,14989.0,0,0,0,1
33,2024-05-28,Outside Rangamati,36,F,Galaxy S24 Ultra 12/256,37343.0,0,1,1,1
34,2024-05-28,Inside Rangamati,43,F,Note 11S 6/128,13867.0,0,1,0,1
35,2024-05-28,Inside Rangamati,32,M,Vivo T3x 5G 8/128,16681.0,0,0,0,1
36,2024-05-28,Outside Rangamati,38,F,Moto G85 5G 8/128,21576.0,1,0,0,1
37,2024-05-28,Outside Rangamati,30,M,iPhone 16 Pro 256GB,13285.0,1,0,0,1
38,2024-05-28,Inside Rangamati,32,M,Moto G85 5G 8/128,26591.0,0,1,0,0
39,2024-05-28,Outside Rangamati,20,M,Vivo Y200 5G 6/128,22641.0,0,1,0,1
40,2024-05-28,Outside Rangamati,37,F,Vivo T3x 5G 8/128,26294.0,1,0,0,1
41,2024-05-28,Outside Rangamati,18,F,Pixel 7a 8/128,44608.0,0,0,0,1
42,2024-05-28,Outside Rangamati,42,M,iQOO Neo 9 Pro 5G 12/256,40262.0,1,0,0,1
43,2024-05-28,Inside Rangamati,31,F,Moto G85 5G 8/128,19318.0,1,0,0,1
44,2024-05-28,Rangamati Sadar,38,M,Moto G85 5G 8/128,20979.0,1,0,1,1
45,2024-05-28,Rangamati Sadar,19,F,Galaxy A55 5G 8/128,24179.0,1,0,0,1
46,2024-05-28,Rangamati Sadar,50,M,iQOO Z7 5G 6/128,16479.0,1,0,0,1
47,2024-05-28,Inside Rangamati,27,M,Vivo T3x 5G 8/128,15115.0,1,1,1,0
48,2024-05-28,Rangamati Sadar,31,M,Note 11S 6/128,23691.0,0,0,1,1
49,2024-05-28,Outside Rangamati,39,M,R-70 Turbo 5G 6/128,24226.0,0,0,1,0
50,2024-05-28,Inside Rangamati,18,F,Note 11S 6/128,14427.0,0,0,0,1
51,2024-05-28,Inside Rangamati,21,M,Pixel 7a 8/128,44670.0,0,0,1,0
52,2024-05-28,Outside Rangamati,22,M,iQOO Z7 5G 6/128,20905.0,0,0,0,1
53,2024-05-28,Outside Rangamati,22,F,Pixel 7a 8/128,44975.0,0,0,0,0
54,2024-05-28,Rangamati Sadar,22,F,Moto G85 5G 8/128,15063.0,0,0,1,1
55,2024-05-28,Inside Rangamati,49,F,Pixel 7a 8/128,17475.0,0,1,0,1
56,2024-05-28,Outside Rangamati,41,M,iPhone 16 Pro Max 1TB,19566.0,0,0,0,1
57,2024-05-28,Rangamati Sadar,36,M,iQOO Neo 9 Pro 5G 12/256,40069.0,1,0,1,1
58,2024-05-28,Outside Rangamati,21,M,R-70 Turbo 5G 6/128,20730.0,1,1,1,1
59,2024-05-28,Rangamati Sadar,49,F,iQOO Z7 5G 6/128,20646.0,0,0,0,1
60,2024-05-28,Rangamati Sadar,41,M,Note 11S 6/128,13066.0,0,0,0,1
61,2024-05-28,Inside Rangamati,19,M,iQOO Z7 5G 6/128,25349.0,0,0,1,1
62,2024-05-28,Outside Rangamati,25,F,Galaxy A55 5G 8/128,39584.0,0,1,0,0
63,2024-05-29,Rangamati Sadar,21,M,Moto G85 5G 8/128,26454.0,0,0,0,1
64,2024-05-29,Outside Rangamati,29,F,iPhone 16 Pro 256GB,66999.0,0,0,1,0
65,2024-05-29,Rangamati Sadar,40,F,Narzo N53 4/64,25386.0,0,0,1,1
66,2024-05-29,Outside Rangamati,47,F,Pixel 8 Pro 12/256,17874.0,0,0,0,1
67,2024-05-29,Outside Rangamati,43,M,Pixel 8 Pro 12/256,17738.0,0,1,0,1
68,2024-05-29,Rangamati Sadar,24,F,Pixel 7a 8/128,18449.0,1,1,0,0
69,2024-05-29,Rangamati Sadar,35,F,Redmi Note 12 Pro 8/128,16448.0,0,0,0,1
70,2024-05-29,Rangamati Sadar,43,M,Note 14 Pro 5G 8/256,36761.0,1,0,0,0
71,2024-05-29,Outside Rangamati,18,F,Redmi Note 12 Pro 8/128,26820.0,0,0,0,1
72,2024-05-29,Outside Rangamati,33,F,iPhone 16 Pro 256GB,16885.0,1,1,0,1
73,2024-05-29,Inside Rangamati,38,F,Vivo T3x 5G 8/128,25397.0,1,1,0,0
74,2024-05-29,Inside Rangamati,47,F,Narzo N53 4/64,16740.0,0,0,0,1
75,2024-05-29,Outside Rangamati,23,F,Vivo Y200 5G 6/128,18781.0,0,1,0,1
76,2024-05-29,Inside Rangamati,27,M,Note 14 Pro 5G 8/256,17423.0,0,0,0,1
77,2024-05-29,Inside Rangamati,29,M,iQOO Z7 5G 6/128,20414.0,1,0,1,0
78,2024-05-29,Inside Rangamati,48,F,Vivo T3x 5G 8/128,26293.0,0,1,0,1
79,2024-05-29,Inside Rangamati,20,F,Vivo Y200 5G 6/128,17048.0,0,1,0,1
80,2024-05-29,Inside Rangamati,25,M,Galaxy A55 5G 8/128,23857.0,1,0,0,1
81,2024-05-29,Inside Rangamati,48,M,Note 14 Pro 5G 8/256,19162.0,1,1,0,0
82,2024-05-29,Inside Rangamati,35,M,Vivo Y200 5G 6/128,19340.0,1,0,0,0
83,2024-05-29,Inside Rangamati,39,F,Moto G85 5G 8/128,14516.0,0,0,1,1
84,2024-05-29,Inside Rangamati,18,F,Pixel 8 Pro 12/256,14597.0,0,0,1,1
85,2024-05-29,Outside Rangamati,43,F,Moto G85 5G 8/128,26808.0,0,1,1,1
86,2024-05-29,Outside Rangamati,25,F,Note 14 Pro 5G 8/256,36465.0,1,1,0,0
87,2024-05-29,Rangamati Sadar,48,M,Vivo Y200 5G 6/128,22894.0,1,0,1,0
88,2024-05-29,Inside Rangamati,25,M,Galaxy A55 5G 8/128,26163.0,0,1,0,0
89,2024-05-29,Outside Rangamati,27,F,Galaxy A55 5G 8/128,13908.0,1,0,0,1
90,2024-05-29,Outside Rangamati,25,F,Pixel 8 Pro 12/256,60625.0,0,1,0,0
91,2024-05-29,Outside Rangamati,25,M,Note 14 Pro 5G 8/256,21198.0,0,1,0,1
92,2024-05-29,Rangamati Sadar,41,F,Vivo T3x 5G 8/128,18995.0,0,1,0,0
93,2024-05-29,Rangamati Sadar,48,M,iQOO Z7 5G 6/128,22053.0,1,0,0,0
94,2024-05-29,Inside Rangamati,31,M,Note 14 Pro 5G 8/256,21682.0,0,1,0,1
95,2024-05-29,Inside Rangamati,26,F,Galaxy M35 5G 8/128,19670.0,0,0,0,1
96,2024-05-29,Outside Rangamati,32,M,Moto G85 5G 8/128,26107.0,1,0,0,1
97,2024-05-29,Outside Rangamati,46,M,Moto G85 5G 8/128,16888.0,1,1,0,0
98,2024-05-29,Inside Rangamati,34,F,iQOO Z7 5G 6/128,21507.0,0,0,1,1
99,2024-05-29,Outside Rangamati,41,F,Moto G85 5G 8/128,26223.0,0,0,0,0
100,2024-05-30,Rangamati Sadar,25,F,R-70 Turbo 5G 6/128,16267.0,0,0,0,1
101,2024-05-30,Outside Rangamati,30,M,Pixel 8 Pro 12/256,13729.0,1,0,0,0
102,2024-05-30,Outside Rangamati,40,F,Galaxy A55 5G 8/128,21392.0,1,0,0,0
103,2024-05-30,Rangamati Sadar,30,M,Redmi Note 12 Pro 8/128,24270.0,0,0,0,1
104,2024-05-30,Inside Rangamati,25,F,Vivo T3x 5G 8/128,26042.0,0,0,0,1
105,2024-05-30,Outside Rangamati,34,F,Galaxy A55 5G 8/128,24364.0,0,1,1,0
106,2024-05-30,Rangamati Sadar,38,F,Galaxy S24 Ultra 12/256,33068.0,0,0,0,1
107,2024-05-30,Rangamati Sadar,44,F,Note 14 Pro 5G 8/256,23617.0,1,0,1,0
108,2024-05-30,Rangamati Sadar,34,F,iQOO Neo 9 Pro 5G 12/256,23148.0,0,0,0,1
109,2024-05-30,Inside Rangamati,49,M,Pixel 8 Pro 12/256,18818.0,0,0,1,1
110,2024-05-30,Rangamati Sadar,39,M,Note 11S 6/128,18704.0,0,0,0,0
111,2024-05-30,Outside Rangamati,19,F,iPhone 16 Pro 256GB,21210.0,0,0,0,1
112,2024-05-30,Inside Rangamati,46,M,Redmi Note 12 Pro 8/128,19179.0,0,1,0,1
113,2024-05-30,Inside Rangamati,48,F,Vivo Y200 5G 6/128,18032.0,0,0,0,0
114,2024-05-30,Rangamati Sadar,23,M,iQOO Z7 5G 6/128,20830.0,0,1,0,1
115,2024-05-30,Outside Rangamati,36,M,Pixel 7a 8/128,20550.0,0,1,0,1
116,2024-05-30,Rangamati Sadar,23,M,iPhone 16 Pro Max 1TB,200333.0,1,1,1,1
117,2024-05-30,Rangamati Sadar,21,M,Narzo N53 4/64,13283.0,1,1,0,1
118,2024-05-30,Outside Rangamati,30,F,Redmi Note 12 Pro 8/128,27815.0,1,1,0,1
119,2024-05-30,Rangamati Sadar,28,M,Galaxy A55 5G 8/128,22226.0,1,1,0,0
120,2024-05-30,Rangamati Sadar,47,M,iPhone 16 Pro 256GB,26762.0,0,1,0,0
121,2024-05-30,Inside Rangamati,18,M,R-70 Turbo 5G 6/128,17011.0,1,1,0,0
122,2024-05-30,Inside Rangamati,36,F,Moto G85 5G 8/128,18321.0,0,0,0,0
123,2024-05-30,Rangamati Sadar,25,F,Pixel 7a 8/128,25114.0,0,1,1,0
124,2024-05-30,Rangamati Sadar,41,F,Vivo T3x 5G 8/128,13256.0,1,1,0,1
125,2024-05-30,Rangamati Sadar,42,M,Redmi Note 12 Pro 8/128,17260.0,1,1,1,1
126,2024-05-30,Rangamati Sadar,42,F,Moto G85 5G 8/128,13733.0,0,0,0,0
127,2024-05-31,Outside Rangamati,23,M,Galaxy S24 Ultra 12/256,15219.0,1,0,1,1
128,2024-05-31,Outside Rangamati,49,F,R-70 Turbo 5G 6/128,21658.0,1,0,1,0
129,2024-05-31,Rangamati Sadar,34,M,Redmi Note 12 Pro 8/128,13211.0,1,1,0,0
130,2024-05-31,Rangamati Sadar,23,M,Galaxy S24 Ultra 12/256,12927.0,0,1,0,0
131,2024-05-31,Rangamati Sadar,33,M,iPhone 16 Pro Max 1TB,74307.0,1,0,0,1
132,2024-05-31,Outside Rangamati,33,F,Galaxy A55 5G 8/128,20123.0,1,1,0,0
133,2024-05-31,Inside Rangamati,49,M,iPhone 16 Pro Max 1TB,21682.0,1,0,0,1
134,2024-05-31,Inside Rangamati,28,F,Note 14 Pro 5G 8/256,24155.0,1,1,0,0
135,2024-05-31,Inside Rangamati,38,F,Note 14 Pro 5G 8/256,21682.0,0,1,1,1
136,2024-05-31,Inside Rangamati,43,M,iPhone 16 Pro 256GB,23496.0,0,0,0,0
137,2024-05-31,Outside Rangamati,39,F,Vivo T3x 5G 8/128,25850.0,0,0,0,1
138,2024-05-31,Inside Rangamati,22,M,Moto G85 5G 8/128,26609.0,0,0,0,1
139,2024-05-31,Outside Rangamati,28,F,Galaxy S24 Ultra 12/256,17503.0,1,0,0,1
140,2024-05-31,Outside Rangamati,43,F,iQOO Neo 9 Pro 5G 12/256,19409.0,0,1,0,0
141,2024-05-31,Rangamati Sadar,36,M,Note 14 Pro 5G 8/256,16981.0,0,1,0,1
142,2024-05-31,Inside Rangamati,41,F,Note 14 Pro 5G 8/256,18771.0,0,0,0,1
143,2024-05-31,Inside Rangamati,32,F,Moto G85 5G 8/128,25909.0,0,0,0,1
144,2024-05-31,Rangamati Sadar,19,F,Narzo N53 4/64,16755.0,0,1,0,1
145,2024-05-31,Rangamati Sadar,43,M,Galaxy M35 5G 8/128,23220.0,0,0,1,0
146,2024-05-31,Rangamati Sadar,25,M,Galaxy S24 Ultra 12/256,25488.0,0,0,0,0
147,2024-05-31,Outside Rangamati,33,F,Galaxy M35 5G 8/128,26038.0,0,0,0,0
148,2024-05-31,Outside Rangamati,49,F,Galaxy M35 5G 8/128,25295.0,1,0,0,1
149,2024-05-31,Inside Rangamati,35,F,Galaxy M35 5G 8/128,26616.0,1,1,1,1
150,2024-05-31,Rangamati Sadar,47,M,Vivo Y200 5G 6/128,20522.0,0,1,0,1
151,2024-05-31,Outside Rangamati,44,F,Pixel 7a 8/128,20549.0,0,0,0,0
152,2024-05-31,Rangamati Sadar,48,M,R-70 Turbo 5G 6/128,22339.0,0,0,0,1
153,2024-05-31,Outside Rangamati,33,F,Vivo Y200 5G 6/128,20868.0,1,0,0,1
154,2024-06-01,Inside Rangamati,21,F,Pixel 8 Pro 12/256,68924.0,0,0,0,1
155,2024-06-01,Outside Rangamati,19,M,R-70 Turbo 5G 6/128,20713.0,0,1,0,0
156,2024-06-01,Inside Rangamati,37,F,iQOO Neo 9 Pro 5G 12/256,24313.0,0,0,1,0
157,2024-06-01,Rangamati Sadar,44,F,Vivo T3x 5G 8/128,24706.0,0,0,0,0
158,2024-06-01,Inside Rangamati,32,M,iPhone 16 Pro Max 1TB,22135.0,0,0,1,0
159,2024-06-01,Inside Rangamati,42,M,Note 14 Pro 5G 8/256,36106.0,0,0,0,0
160,2024-06-01,Outside Rangamati,24,M,Vivo T3x 5G 8/128,15587.0,1,1,1,1
161,2024-06-01,Outside Rangamati,33,M,Vivo Y200 5G 6/128,23578.0,0,1,0,0
162,2024-06-01,Outside Rangamati,33,M,Pixel 8 Pro 12/256,71078.0,0,0,0,1
163,2024-06-01,Rangamati Sadar,49,M,Pixel 7a 8/128,21240.0,0,0,1,1
164,2024-06-01,Rangamati Sadar,19,F,iQOO Z7 5G 6/128,20083.0,1,0,0,1
165,2024-06-01,Inside Rangamati,47,M,Redmi Note 12 Pro 8/128,27333.0,0,1,1,1
166,2024-06-01,Rangamati Sadar,42,F,Pixel 8 Pro 12/256,31441.0,1,1,0,1
167,2024-06-01,Rangamati Sadar,37,M,Note 11S 6/128,24412.0,0,0,1,1
168,2024-06-01,Rangamati Sadar,25,M,iPhone 16 Pro 256GB,25078.0,0,1,0,0
169,2024-06-01,Outside Rangamati,33,F,Galaxy M35 5G 8/128,18919.0,1,0,1,0
170,2024-06-01,Inside Rangamati,29,F,iQOO Z7 5G 6/128,19692.0,0,1,1,0
171,2024-06-01,Rangamati Sadar,18,F,Galaxy M35 5G 8/128,17959.0,1,0,0,0
172,2024-06-01,Inside Rangamati,43,F,Galaxy A55 5G 8/128,39413.0,0,1,0,1
173,2024-06-01,Outside Rangamati,35,M,Vivo Y200 5G 6/128,19537.0,1,0,0,1
174,2024-06-02,Rangamati Sadar,30,M,Note 14 Pro 5G 8/256,36180.0,1,1,0,0
175,2024-06-02,Inside Rangamati,23,F,Pixel 8 Pro 12/256,17192.0,0,0,1,1
176,2024-06-02,Inside Rangamati,44,F,Note 14 Pro 5G 8/256,15327.0,0,1,0,1
177,2024-06-02,Rangamati Sadar,42,M,Vivo Y200 5G 6/128,22996.0,0,0,1,1
178,2024-06-02,Outside Rangamati,38,M,Galaxy A55 5G 8/128,39598.0,0,1,0,1
179,2024-06-02,Inside Rangamati,18,F,Narzo N53 4/64,25617.0,0,0,0,1
180,2024-06-02,Inside Rangamati,41,M,R-70 Turbo 5G 6/128,24416.0,0,0,0,1
181,2024-06-02,Rangamati Sadar,41,M,R-70 Turbo 5G 6/128,22104.0,1,0,0,1
182,2024-06-02,Outside Rangamati,33,M,Moto G85 5G 8/128,18792.0,0,0,0,1
183,2024-06-02,Inside Rangamati,20,M,Moto G85 5G 8/128,19852.0,1,1,1,1
184,2024-06-02,Rangamati Sadar,48,M,Pixel 8 Pro 12/256,111419.0,1,0,0,0
185,2024-06-02,Inside Rangamati,37,M,Vivo T3x 5G 8/128,13866.0,1,1,0,1
186,2024-06-02,Outside Rangamati,41,F,Narzo N53 4/64,22768.0,0,1,0,0
187,2024-06-02,Inside Rangamati,49,F,Moto G85 5G 8/128,26314.0,0,0,0,0
188,2024-06-02,Inside Rangamati,48,F,Galaxy A55 5G 8/128,15337.0,1,0,1,1
189,2024-06-02,Rangamati Sadar,43,F,R-70 Turbo 5G 6/128,24099.0,0,1,0,0
190,2024-06-02,Outside Rangamati,36,M,Galaxy A55 5G 8/128,24814.0,0,1,1,0
191,2024-06-02,Outside Rangamati,47,F,Narzo N53 4/64,15214.0,1,0,0,1
192,2024-06-02,Inside Rangamati,22,F,R-70 Turbo 5G 6/128,14061.0,0,0,1,0
193,2024-06-02,Rangamati Sadar,37,F,Moto G85 5G 8/128,21700.0,1,0,0,0
194,2024-06-02,Outside Rangamati,30,F,Moto G85 5G 8/128,24072.0,0,0,1,1
195,2024-06-02,Rangamati Sadar,18,M,Pixel 7a 8/128,21682.0,0,0,0,1
196,2024-06-02,Inside Rangamati,47,M,Vivo T3x 5G 8/128,24670.0,0,0,0,1
197,2024-06-02,Inside Rangamati,43,F,R-70 Turbo 5G 6/128,23995.0,1,0,1,1
198,2024-06-02,Inside Rangamati,18,F,Pixel 8 Pro 12/256,12756.0,0,0,0,0
199,2024-06-02,Outside Rangamati,39,M,iPhone 16 Pro 256GB,18954.0,0,1,0,1
200,2024-06-02,Outside Rangamati,36,M,Pixel 8 Pro 12/256,14857.0,0,0,1,1
201,2024-06-03,Rangamati Sadar,41,F,Note 14 Pro 5G 8/256,36446.0,0,0,1,0
202,2024-06-03,Outside Rangamati,21,F,iPhone 16 Pro 256GB,14858.0,0,1,0,1
203,2024-06-03,Outside Rangamati,46,F,Pixel 7a 8/128,44515.0,0,0,0,1
204,2024-06-03,Outside Rangamati,35,F,Galaxy S24 Ultra 12/256,73490.0,0,0,0,0
205,2024-06-03,Inside Rangamati,41,F,Note 11S 6/128,18633.0,1,1,0,1
206,2024-06-03,Rangamati Sadar,46,M,Moto G85 5G 8/128,21682.0,0,0,0,1
207,2024-06-03,Rangamati Sadar,20,M,Galaxy A55 5G 8/128,26589.0,0,0,1,1
208,2024-06-03,Outside Rangamati,46,M,iPhone 16 Pro 256GB,16809.0,0,0,0,0
209,2024-06-03,Outside Rangamati,26,M,Pixel 7a 8/128,16631.0,0,1,0,1
210,2024-06-03,Inside Rangamati,22,M,iQOO Neo 9 Pro 5G 12/256,24633.0,1,0,1,0
211,2024-06-03,Inside Rangamati,31,F,iPhone 16 Pro Max 1TB,73424.0,0,1,0,0
212,2024-06-03,Inside Rangamati,43,F,Pixel 7a 8/128,24979.0,1,1,1,0
213,2024-06-03,Rangamati Sadar,42,F,Galaxy S24 Ultra 12/256,21109.0,1,0,0,1
214,2024-06-03,Rangamati Sadar,28,M,Galaxy S24 Ultra 12/256,37443.0,0,1,1,1
215,2024-06-03,Inside Rangamati,35,M,Pixel 7a 8/128,18207.0,1,0,0,1
216,2024-06-03,Outside Rangamati,23,M,R-70 Turbo 5G 6/128,19000.0,1,1,0,0
217,2024-06-03,Outside Rangamati,35,F,R-70 Turbo 5G 6/128,16299.0,1,0,0,1
218,2024-06-03,Inside Rangamati,19,F,Narzo N53 4/64,12948.0,0,0,0,0
219,2024-06-03,Inside Rangamati,44,F,Moto G85 5G 8/128,20211.0,0,0,0,1
220,2024-06-03,Rangamati Sadar,27,M,Vivo T3x 5G 8/128,25630.0,0,1,0,1
221,2024-06-03,Rangamati Sadar,48,F,Galaxy S24 Ultra 12/256,15285.0,0,1,0,1
222,2024-06-03,Inside Rangamati,42,F,Moto G85 5G 8/128,20425.0,1,0,0,1
223,2024-06-03,Rangamati Sadar,34,F,iPhone 16 Pro 256GB,26221.0,0,0,0,1
224,2024-06-03,Inside Rangamati,42,F,Galaxy S24 Ultra 12/256,24376.0,0,1,0,1
225,2024-06-03,Inside Rangamati,28,F,Redmi Note 12 Pro 8/128,22717.0,0,0,1,0
226,2024-06-03,Inside Rangamati,30,M,Galaxy S24 Ultra 12/256,19059.0,0,0,0,0
227,2024-06-03,Rangamati Sadar,39,M,iPhone 16 Pro Max 1TB,32889.0,1,1,0,0
228,2024-06-04,Inside Rangamati,49,M,Note 11S 6/128,18533.0,0,1,0,1
229,2024-06-04,Rangamati Sadar,26,F,iPhone 16 Pro 256GB,16991.0,1,0,1,1
230,2024-06-04,Outside Rangamati,41,F,Vivo T3x 5G 8/128,18818.0,1,1,0,1
231,2024-06-04,Inside Rangamati,28,F,iPhone 16 Pro Max 1TB,23106.0,1,0,0,1
232,2024-06-04,Rangamati Sadar,31,M,Pixel 7a 8/128,20044.0,0,1,0,1
233,2024-06-04,Rangamati Sadar,29,F,Pixel 7a 8/128,14728.0,1,1,0,1
234,2024-06-04,Outside Rangamati,26,F,Pixel 7a 8/128,18714.0,1,0,0,1
235,2024-06-04,Outside Rangamati,32,M,Pixel 8 Pro 12/256,25180.0,1,1,0,0
236,2024-06-04,Rangamati Sadar,27,M,Moto G85 5G 8/128,26010.0,0,0,0,1
237,2024-06-04,Rangamati Sadar,42,F,R-70 Turbo 5G 6/128,16814.0,1,1,1,1
238,2024-06-04,Rangamati Sadar,46,M,Pixel 8 Pro 12/256,111951.0,0,1,1,0
239,2024-06-04,Inside Rangamati,26,M,iQOO Z7 5G 6/128,13739.0,0,0,1,0
240,2024-06-04,Inside Rangamati,33,M,Note 14 Pro 5G 8/256,36060.0,1,1,0,1
241,2024-06-04,Rangamati Sadar,50,F,Note 14 Pro 5G 8/256,25121.0,0,1,0,1
242,2024-06-04,Outside Rangamati,47,F,iQOO Z7 5G 6/128,19290.0,0,1,0,1
243,2024-06-04,Outside Rangamati,39,M,iPhone 16 Pro 256GB,23048.0,1,0,0,0
244,2024-06-04,Outside Rangamati,37,M,Moto G85 5G 8/128,26212.0,0,1,0,1
245,2024-06-04,Rangamati Sadar,38,F,R-70 Turbo 5G 6/128,23989.0,0,1,1,1
246,2024-06-04,Inside Rangamati,38,F,iPhone 16 Pro Max 1TB,21682.0,1,0,1,1
247,2024-06-04,Inside Rangamati,43,M,Narzo N53 4/64,13038.0,1,1,0,0
248,2024-06-04,Rangamati Sadar,49,M,Pixel 8 Pro 12/256,23625.0,0,1,0,0
249,2024-06-04,Outside Rangamati,21,F,Galaxy S24 Ultra 12/256,15684.0,0,0,0,1
250,2024-06-04,Outside Rangamati,50,F,iQOO Z7 5G 6/128,18411.0,1,0,1,1
251,2024-06-04,Inside Rangamati,24,M,Redmi Note 12 Pro 8/128,15497.0,1,0,1,1
252,2024-06-04,Outside Rangamati,24,F,Vivo T3x 5G 8/128,26027.0,0,0,0,0
253,2024-06-04,Outside Rangamati,33,M,Pixel 7a 8/128,13240.0,1,0,0,0
254,2024-06-04,Outside Rangamati,34,F,iPhone 16 Pro Max 1TB,17423.0,0,1,0,0
255,2024-06-04,Rangamati Sadar,34,M,iQOO Neo 9 Pro 5G 12/256,14541.0,0,1,1,1
256,2024-06-04,Rangamati Sadar,40,M,Narzo N53 4/64,13442.0,1,0,0,1
257,2024-06-04,Inside Rangamati,28,F,Pixel 7a 8/128,20891.0,0,0,0,1
258,2024-06-04,Rangamati Sadar,45,M,Pixel 7a 8/128,36489.0,0,0,0,1
259,2024-06-05,Rangamati Sadar,35,F,Redmi Note 12 Pro 8/128,17556.0,0,1,0,1
260,2024-06-05,Rangamati Sadar,33,F,Narzo N53 4/64,13142.0,1,1,1,1
261,2024-06-05,Inside Rangamati,30,F,Note 11S 6/128,17246.0,0,0,0,1
262,2024-06-05,Outside Rangamati,45,M,Vivo Y200 5G 6/128,14464.0,0,1,1,1
263,2024-06-05,Outside Rangamati,49,F,Redmi Note 12 Pro 8/128,15968.0,1,0,0,1
264,2024-06-05,Inside Rangamati,25,M,iQOO Z7 5G 6/128,20396.0,0,0,1,0
265,2024-06-05,Outside Rangamati,33,F,iQOO Z7 5G 6/128,25093.0,1,0,0,1
266,2024-06-05,Rangamati Sadar,45,F,Note 14 Pro 5G 8/256,14279.0,0,0,0,1
267,2024-06-05,Rangamati Sadar,19,M,Note 14 Pro 5G 8/256,21239.0,0,0,0,1
268,2024-06-05,Inside Rangamati,18,M,Redmi Note 12 Pro 8/128,27654.0,0,1,0,0
269,2024-06-05,Outside Rangamati,29,F,iQOO Neo 9 Pro 5G 12/256,24015.0,0,1,1,0
270,2024-06-05,Inside Rangamati,46,F,Moto G85 5G 8/128,25061.0,0,1,1,1
271,2024-06-05,Outside Rangamati,42,M,iQOO Neo 9 Pro 5G 12/256,23832.0,0,0,0,1
272,2024-06-05,Outside Rangamati,38,M,Note 14 Pro 5G 8/256,21843.0,0,1,1,1
273,2024-06-05,Inside Rangamati,32,M,Note 14 Pro 5G 8/256,20888.0,1,0,1,1
274,2024-06-05,Inside Rangamati,38,M,Galaxy S24 Ultra 12/256,16071.0,0,0,0,1
